legislator,party,id,category,amount_given,group,rank
"Rep. Tommie Pierson, D-Bellefontaine Neighbors",Democratic,152,House of Representatives,3093.74,blue,71st
"Rep. Tony Dugger, R-Hartville",Republican,153,House of Representatives,3803.55,red,55th
"Rep. Vicki Englund, D-Green Park",Democratic,154,House of Representatives,1902.17,blue,100th
"Rep. Wanda Brown, R-Lincoln",Republican,155,House of Representatives,431.50,red,166th
"Rep. Warren Love, R-Osceola",Republican,156,House of Representatives,859.70,red,139th
"Sen. Bob Dixon, R-Springfield",Republican,157,Senate,3475.08,red,63rd
"Sen. Brad Lager, R-Savannah",Republican,158,Senate,3631.79,red,58th
"Sen. Brian Munzlinger, R-Williamstown",Republican,159,Senate,8049.30,red,20th
"Sen. Brian Nieves, R-Washington",Republican,160,Senate,3707.97,red,57th
"Sen. Dan Brown, R-Rolla",Republican,161,Senate,3795.46,red,56th
"Sen. David Pearce, R-Warrensburg",Republican,162,Senate,5192.01,red,43rd
"Sen. David Sater, R-Cassville",Republican,163,Senate,1793.45,red,103rd
"Sen. Doug Libla, R-Poplar Bluff",Republican,164,Senate,3523.72,red,60th
"Sen. Ed Emery, R-Lamar",Republican,165,Senate,1633.69,red,111th
"Sen. Eric Schmitt, R-Glendale",Republican,166,Senate,2469.38,red,85th
"Sen. Gary Romine, R-Farmington",Republican,167,Senate,5710.45,red,34th
"Sen. Gina Walsh, D-Bellefontaine Neighbors",Democratic,168,Senate,9005.06,blue,15th
"Sen. Jamilah Nasheed, D-St. Louis",Democratic,169,Senate,9136.62,blue,14th
"Sen. Jason Holsman, D-Kansas City",Democratic,170,Senate,10989.41,blue,8th
"Sen. Jolie Justus, D-Kansas City",Democratic,171,Senate,4571.93,blue,50th
"Sen. Joseph Keaveny, D-St.Louis",Democratic,172,Senate,3060.65,blue,72nd
"Sen. Kurt Schaefer, R-Columbia",Republican,173,Senate,11784.85,red,6th
"Sen. Maria Chappelle-Nadal, D-University City",Democratic,174,Senate,6035.86,blue,33rd
"Sen. Mike Cunningham, R-Rogersville",Republican,175,Senate,76.59,red,181st
"Sen. Mike Kehoe, R-Jefferson City",Republican,176,Senate,44.15,red,183rd
"Sen. Mike Parson, R-Bolivar",Republican,177,Senate,13620.95,red,4th
"Sen. Paul LeVota, D-Independence",Democratic,178,Senate,11769.39,blue,7th
"Sen. Rob Schaaf, R-St. Joseph",Republican,179,Senate,785.19,red,143rd
"Sen. Ron Richard, R-Joplin",Republican,180,Senate,7900.50,red,21st
"Sen. Ryan McKenna, D-Crystal City",Democratic,181,Senate,4648.54,blue,47th
"Sen. Ryan Silvey, R-Kansas City",Republican,182,Senate,15057.47,red,2nd
"Sen. S. Kiki Curls, D-Kansas City",Democratic,183,Senate,16707.54,blue,1st
"Sen. Scott Rupp, R-Wentzville",Republican,184,Senate,8484.50,red,18th
"Sen. Scott Sifton, D-St.Louis",Democratic,185,Senate,25.00,blue,184th
"Sen. Tom Dempsey, R-St. Charles",Republican,186,Senate,14292.61,red,3rd
"Sen. Wayne Wallingford, R-Cape Girardeau County",Republican,187,Senate,5560.16,red,38th
"Sen. Will Kraus, R-Lee's Summit",Republican,188,Senate,225.55,red,175th
